drop_ratio,hidden_size,k,matrix_noise,mse_train,mae_train,mse_test,mae_test
0.1,150,15,0.2,0.2800246065261313,0.20639100392457913,1.2528839720589926,0.9493941871220885
0.1,150,15,0.3,0.27811032537904834,0.20396891513514756,1.251193628329,0.9509198535692279
0.1,150,15,0.4,0.27493845223189695,0.20138599550456823,1.2517980629008074,0.9511085624190074
0.1,150,30,0.2,0.2840042918455488,0.20650838576445948,1.2121396095965868,0.9288099072798317
0.1,150,30,0.3,0.29571091218623613,0.21619849562126048,1.2125959114217804,0.9294600760096926
0.1,150,30,0.4,0.29709270073315486,0.21729707691674957,1.2212239900323214,0.9337573902199189
0.1,150,45,0.2,0.32386543169353094,0.23771509283175118,1.194736355583932,0.9163462772494199
0.1,150,45,0.3,0.3229905980648816,0.2375891695215639,1.1965255619840849,0.9189777299420762
0.1,150,45,0.4,0.31373174799909237,0.2301673800807048,1.1985331520720452,0.9205539599706433
0.1,200,15,0.2,0.272429853298333,0.20029210183168547,1.2523834281482034,0.9517050917221284
0.1,200,15,0.3,0.2685338665526523,0.19734787865809883,1.2558186105210294,0.9538654487467392
0.1,200,15,0.4,0.2831373868017724,0.20777903604183603,1.249961705054782,0.9495696283273752
0.1,200,30,0.2,0.27126502372269334,0.1969785384505971,1.2175445204549395,0.9328153539839981
0.1,200,30,0.3,0.28342910130998794,0.20743131874353274,1.209935044105604,0.9288089941602617
0.1,200,30,0.4,0.2893777936890292,0.2112399175543885,1.2125351238058957,0.9275483870310299
0.1,200,45,0.2,0.2894514100456472,0.21078752725989014,1.208776610290366,0.9281744775079018
